aid,Assessor,Download_date,Assess_date,Pub_type,Authors,Pub_year,Title,Journal,Author_affil,Affil_type.academic,Affil_type.pub_sec,Affil_type.res_int,Affil_type.cons,Affil_type.non_prof,Affil_type.priv_sec,Affil_type.int_org,Funding,DOI,110 Source,Bib_notes,Stated_int,Int_type.MPA,Int_type.PES,Int_type.CBNRM,Int_type.Certification,Desired_out,Int_geo.local,Int_geo.region,Int_geo.national,Int_geo.subnational,Int_geo.international,Int_dur,Int_funding,Mang_auth.Government,Mang_auth.Shared_governance,Mang_auth.Private_governance,Mang_auth.Indigenous_community_governance,Mang_auth.multiple,Mang_auth.mixed,Int_location,Int_area,Int_notes,Study_goal,Study_type,Design.control_comp,Comp_type,Data_source,Study_location,Study_country,Study_scale,Biome.,Eval_affil,Unit_analysis,Sample_size,Study_duration,Study_notes,Distributive_equity,Recognitional_equity,Contextual_equity,Procedural_equity,Equity_notes,Causal_pathway,Explicit_mechanism,Pathway_notes,oid,Stated_outcomes,Out_type,Out_subtype,Indicators,Out_definition,Outcome.data_type,Resource_type,Outcome.direction,Pluralism,Out_subgroup,STE_domain,STE_econ,STE_social,STE_sex,STE_ethnic,STE_age,STE_occupation,STE_social_org,STE_spatial,STE_temporal_unit,STE_temporal_scale,Outcome_notes
67201,DG,Aug-Sept 2017,27-Nov-17,Article,kamat vr,2014,"``the ocean is our farm'': marine conservation, food insecurity, and",human organization,"Department of Anthropology
and Chair of the African Studies Program at the University of
British Columbia.",1,0,0,0,0,0,0,"grants
from UBC’s Humanities and Social Sciences Fund (F11-01283).",,Web of Science,,"Mnazi Bay-Ruvuma Estuary
Marine Park (MBREMP)",1,0,0,0,"contribute to marine
ecosystem sustainability while also improving the local communities’
livelihoods through alternative livelihood projects
and the promotion of ecotourism in the area",1,0,0,0,0,10-11 years,,1,0,0,0,0,0,"Tanzania, United Republic Of",650 km2,430 km2 marine,"draw attention to the human dimensions of the MBREMP (hereafter Marine Park) with particular reference to food security concerns among the residents of the villages located within the Marine Park’s catchment area. 
examine local perceptions
of food avail",1,0,NA,Primary,"villages located within the Marine Park’s catchment area:  Msimbati (931 households), (2) Nalingu (921 households),
(3) Namera (560 households), (4) Mkubiru (457 households),
(5) Msangamkuu, and (6) Sinde.","Tanzania, United Republic Of",Local,nearshore tropical,Academic,"Community, Household, Individual","12 village leaders, 6 women's, 6 men's groups, 120 interviews with village members",2 years,"Data were gathered using a combination of
methods: participant observation, interviews, and focus group
discussions (FGDs).",0,0,0,0,Female headed households experience greatest negative impacts; villages closer to the MPA and more dependent on fishing experience greater -ve impacts than those further away.,0,0,"While the causal link between the implementation of the Marine Park and people’s experiences of poverty, food shortages, and other hardships/vulnerability is mediated by other confounding fac- tors, addressing people’s resentment and hostility toward the ",110,human dimensions of the MBREMP,Political empowerment,resource rights,Access to ancestral fishing waters,Respondent,Qualitative,Fishing,Negative,Implicit,fishers & dependent communities vs non-dependent communities,Synergy,NA,NA,Synergy,NA,NA,Tradeoff,NA,NA,NA,NA,a significant proportion of the people were subsistence farmers; they were not fishers who relied mostly on the sea for their livelihood. Those who were solely reliant on fishing and marine extraction activities for their livelihood saw a direct connectio
67201,DG,Aug-Sept 2017,27-Nov-17,Article,kamat vr,2014,"``the ocean is our farm'': marine conservation, food insecurity, and",human organization,"Department of Anthropology
and Chair of the African Studies Program at the University of
British Columbia.",1,0,0,0,0,0,0,"grants
from UBC’s Humanities and Social Sciences Fund (F11-01283).",,Web of Science,,"Mnazi Bay-Ruvuma Estuary
Marine Park (MBREMP)",1,0,0,0,"contribute to marine
ecosystem sustainability while also improving the local communities’
livelihoods through alternative livelihood projects
and the promotion of ecotourism in the area",1,0,0,0,0,10-11 years,,1,0,0,0,0,0,"Tanzania, United Republic Of",650 km2,430 km2 marine,"draw attention to the human dimensions of the MBREMP (hereafter Marine Park) with particular reference to food security concerns among the residents of the villages located within the Marine Park’s catchment area. 
examine local perceptions
of food avail",1,0,NA,Primary,"villages located within the Marine Park’s catchment area:  Msimbati (931 households), (2) Nalingu (921 households),
(3) Namera (560 households), (4) Mkubiru (457 households),
(5) Msangamkuu, and (6) Sinde.","Tanzania, United Republic Of",Local,nearshore tropical,Academic,"Community, Household, Individual","12 village leaders, 6 women's, 6 men's groups, 120 interviews with village members",2 years,"Data were gathered using a combination of
methods: participant observation, interviews, and focus group
discussions (FGDs).",0,0,0,0,Female headed households experience greatest negative impacts; villages closer to the MPA and more dependent on fishing experience greater -ve impacts than those further away.,0,0,"While the causal link between the implementation of the Marine Park and people’s experiences of poverty, food shortages, and other hardships/vulnerability is mediated by other confounding fac- tors, addressing people’s resentment and hostility toward the ",111,human dimensions of the MBREMP,Economic well-being,economic wealth,"access to cash from fishing, loss of assets, loss of livelihood, displacement",Respondent,Qualitative,Fishing,Negative,Implicit,fishers & dependent communities vs non-dependent communities,Synergy,NA,NA,Synergy,NA,NA,Tradeoff,NA,NA,NA,NA,"In the Marine Park’s catchment area, only a small fraction of those directly affected by the project have benefitted from alternative income-generating projects such as fish farming, bee keeping, goat rearing, and fish gear exchanges, including larger boa"
67201,DG,Aug-Sept 2017,27-Nov-17,Article,kamat vr,2014,"``the ocean is our farm'': marine conservation, food insecurity, and",human organization,"Department of Anthropology
and Chair of the African Studies Program at the University of
British Columbia.",1,0,0,0,0,0,0,"grants
from UBC’s Humanities and Social Sciences Fund (F11-01283).",,Web of Science,,"Mnazi Bay-Ruvuma Estuary
Marine Park (MBREMP)",1,0,0,0,"contribute to marine
ecosystem sustainability while also improving the local communities’
livelihoods through alternative livelihood projects
and the promotion of ecotourism in the area",1,0,0,0,0,10-11 years,,1,0,0,0,0,0,"Tanzania, United Republic Of",650 km2,430 km2 marine,"draw attention to the human dimensions of the MBREMP (hereafter Marine Park) with particular reference to food security concerns among the residents of the villages located within the Marine Park’s catchment area. 
examine local perceptions
of food avail",1,0,NA,Primary,"villages located within the Marine Park’s catchment area:  Msimbati (931 households), (2) Nalingu (921 households),
(3) Namera (560 households), (4) Mkubiru (457 households),
(5) Msangamkuu, and (6) Sinde.","Tanzania, United Republic Of",Local,nearshore tropical,Academic,"Community, Household, Individual","12 village leaders, 6 women's, 6 men's groups, 120 interviews with village members",2 years,"Data were gathered using a combination of
methods: participant observation, interviews, and focus group
discussions (FGDs).",0,0,0,0,Female headed households experience greatest negative impacts; villages closer to the MPA and more dependent on fishing experience greater -ve impacts than those further away.,0,0,"While the causal link between the implementation of the Marine Park and people’s experiences of poverty, food shortages, and other hardships/vulnerability is mediated by other confounding fac- tors, addressing people’s resentment and hostility toward the ",112,human dimensions of the MBREMP,Health,"emotional health, food security, mental health, safety and security","food security, 
nutritional vulnerability, increased vulnerability,physical insecurity, mental health, increased fear",Respondent,Qualitative,Fishing,Negative,Implicit,fishers & dependent communities vs non-dependent communities,Synergy,NA,NA,Synergy,NA,NA,Tradeoff,NA,NA,NA,NA,"In the Marine Park’s catchment area, only a small fraction of those directly affected by the project have benefitted from alternative income-generating projects such as fish farming, bee keeping, goat rearing, and fish gear exchanges, including larger boa"
67306,DG,Aug-Sept 2017,29-Nov-17,Article,barau as;stringer lc,2015,access to and allocation of ecosystem services in malaysia's pulau kukup   ramsar site,ecosystem services,"Department of Urban and Regional Planning, Faculty of Earth and Environmental Science, Bayero University Kano, Nigeria",1,0,0,0,0,0,0,,,Web of Science,,Pulau Kukup ramsar site,1,0,0,0,(national policy for wetlands) (1) protection and conservation of different types of wetlands; (2) integration of wetland conservation interests into overall natural resource planning; (3) increase scientific and technical knowledge (4) increase public ap,1,0,0,0,0,18 years (state park),,0,0,0,0,0,0,Malaysia,~6.47 km2,Ramsar Site No. 1287,"understand and analyse how the designation of
Pulau Kukup as a Ramsar site has affected communities' access to ecosystem services",1,0,NA,Primary,"Pulau Kukup Ramsar site, Kukup fishing village, and kelong sites (floating fish farms) located on the water that separates the Ramsar site and Kukup village (Island: 01°19′N and
103°25′E )",Malaysia,Local,mangrove,Academic,Community,12 interviewees,1 month,"group interviews and direct observations of people’s interactions with resources, in- cluding observation of socio-economic and ecological opportu- nities; "detailed" literature review""roup interviews and direct ",0,0,0,0,,0,0,,113,Ecosystem service benefits,Political empowerment,resource rights,land tenure security,Respondent,Qualitative,Other,Mixed,Researcher,"home stay owner, fish farmer, conservation officer, sea food seller, grocery shop keeper",Tradeoff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,broad questions of ES benefits and losses from Ramsar designation. Researcher explicitly asks questions on benefits and loss of acess
67306,DG,Aug-Sept 2017,29-Nov-17,Article,barau as;stringer lc,2015,access to and allocation of ecosystem services in malaysia's pulau kukup   ramsar site,ecosystem services,"Department of Urban and Regional Planning, Faculty of Earth and Environmental Science, Bayero University Kano, Nigeria",1,0,0,0,0,0,0,,,Web of Science,,Pulau Kukup ramsar site,1,0,0,0,(national policy for wetlands) (1) protection and conservation of different types of wetlands; (2) integration of wetland conservation interests into overall natural resource planning; (3) increase scientific and technical knowledge (4) increase public ap,1,0,0,0,0,18 years (state park),,0,0,0,0,0,0,Malaysia,~6.47 km2,Ramsar Site No. 1287,"understand and analyse how the designation of
Pulau Kukup as a Ramsar site has affected communities' access to ecosystem services",1,0,NA,Primary,"Pulau Kukup Ramsar site, Kukup fishing village, and kelong sites (floating fish farms) located on the water that separates the Ramsar site and Kukup village (Island: 01°19′N and
103°25′E )",Malaysia,Local,mangrove,Academic,Community,12 interviewees,1 month,"group interviews and direct observations of people’s interactions with resources, in- cluding observation of socio-economic and ecological opportu- nities; "detailed" literature review""roup interviews and direct ",0,0,0,0,,0,0,,114,Ecosystem service benefits,Economic well-being,economic wealth,decreased poverty,Respondent,Qualitative,Other,Mixed,Researcher,"home stay owner, fish farmer, conservation officer, sea food seller, grocery shop keeper",Tradeoff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,broad questions of ES benefits and losses from Ramsar designation. Researcher explicitly asks questions on benefits and loss of acess
67306,DG,Aug-Sept 2017,29-Nov-17,Article,barau as;stringer lc,2015,access to and allocation of ecosystem services in malaysia's pulau kukup   ramsar site,ecosystem services,"Department of Urban and Regional Planning, Faculty of Earth and Environmental Science, Bayero University Kano, Nigeria",1,0,0,0,0,0,0,,,Web of Science,,Pulau Kukup ramsar site,1,0,0,0,(national policy for wetlands) (1) protection and conservation of different types of wetlands; (2) integration of wetland conservation interests into overall natural resource planning; (3) increase scientific and technical knowledge (4) increase public ap,1,0,0,0,0,18 years (state park),,0,0,0,0,0,0,Malaysia,~6.47 km2,Ramsar Site No. 1287,"understand and analyse how the designation of
Pulau Kukup as a Ramsar site has affected communities' access to ecosystem services",1,0,NA,Primary,"Pulau Kukup Ramsar site, Kukup fishing village, and kelong sites (floating fish farms) located on the water that separates the Ramsar site and Kukup village (Island: 01°19′N and
103°25′E )",Malaysia,Local,mangrove,Academic,Community,12 interviewees,1 month,"group interviews and direct observations of people’s interactions with resources, in- cluding observation of socio-economic and ecological opportu- nities; "detailed" literature review""roup interviews and direct ",0,0,0,0,,0,0,,9,Ecosystem service benefits,Political empowerment,resource rights,loss of access for spiritual uses,Respondent,Qualitative,Other,Mixed,Researcher,"home stay owner, fish farmer, conservation officer, sea food seller, grocery shop keeper",Tradeoff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,broad questions of ES benefits and losses from Ramsar designation. Researcher explicitly asks questions on benefits and loss of acess
67406,DG,Aug-Sept 2017,19-Dec-17,Article,"j.-y. weigel, p. morand, t. mawongwai, j.-f. noël and r. tokrishna",2015,assessing economic effects of a marine protected area on fishing households. a thai case study,unknown,"UMR PRODIG, IRD, 30-32 Avenue Henri-Varagnat, 93143 Bondy Cedex, France",0,0,1,0,0,0,0,e financial support provided by the ECOST Project funded by the Directorate-General for Research of the European Commission (INCO-CT-2005-003711).,, de Lange et al 2015 (new marine),,Chumphon Archipelago Marine National Park,1,0,0,0,,1,0,0,0,0,,,1,0,0,0,0,0,Thailand,317 km2,,"we test the hypothesis that the economic situation of fishing households located within or adjacent to an MPA is better than that of fishing households located remote from an MPA when ecosystems, communities and fishing activities are similar.",,1,Treated/Untreated,Primary,Chumphon Province coastal area,Thailand,Local,tropical coral reefs,Research Institute,Household,123 fishing households,1 year,,1,0,0,0,income distribution is much more inegalitarian among REM-MPA  (non-MPA) households than WA- MPA (MPA) households,0,0,,162,profitability,Economic well-being,"economic wealth, occupation/ livelihoods","net income, net profit margin, inequality index, vulnerability index, occupational diversity",Researcher,Quantitative,Fishing,Positive,Researcher,fishers,Synergy,NA,NA,Synergy,NA,NA,Pos/neutral,NA,NA,NA,NA,"Outcomes are all income, but study also assesses inequality, vulnerability, relative to control sites. Also: less need to diversify income, less debt. For some types of fishing-related activity (gear, harvest, post-harvest), revenue was significantly high"
67406,DG,Aug-Sept 2017,19-Dec-17,Article,"j.-y. weigel, p. morand, t. mawongwai, j.-f. noël and r. tokrishna",2015,assessing economic effects of a marine protected area on fishing households. a thai case study,unknown,"UMR PRODIG, IRD, 30-32 Avenue Henri-Varagnat, 93143 Bondy Cedex, France",0,0,1,0,0,0,0,e financial support provided by the ECOST Project funded by the Directorate-General for Research of the European Commission (INCO-CT-2005-003711).,, de Lange et al 2015 (new marine),,Chumphon Archipelago Marine National Park,1,0,0,0,,1,0,0,0,0,,,1,0,0,0,0,0,Thailand,317 km2,,"we test the hypothesis that the economic situation of fishing households located within or adjacent to an MPA is better than that of fishing households located remote from an MPA when ecosystems, communities and fishing activities are similar.",,1,Treated/Untreated,Primary,Chumphon Province coastal area,Thailand,Local,tropical coral reefs,Research Institute,Household,123 fishing households,1 year,,1,0,0,0,income distribution is much more inegalitarian among REM-MPA  (non-MPA) households than WA- MPA (MPA) households,0,0,,163,CPUE,Health,food security,difference in CPUE,Researcher,Quantitative,Fishing,Positive,Researcher,fishers,Synergy,NA,NA,NA,NA,NA,Pos/neutral,NA,NA,NA,NA,Higher CPUE for some species but not for others. Overall the paper reports there being higher CPUE at the MPA sites
67432,DG,Aug-Sept 2017,19-Dec-17,Article,batista mi;horta e costa b;goncalves l;henriques m;erzini k;caselle je;goncalves ej;cabral hn,2015,"assessment of catches, landings and fishing effort as useful tools for   mpa management",fisheries research,"Marine and Environmental Sciences Centre, Centro de Oceanografia, Faculdade de Ciências, Universidade de Lisboa, Campo Grande, 1749-016
Lisboa, Portugal",1,0,0,0,0,0,0,". Caselle was supported by the Partnership for Interdisciplinary Studies of Coastal Oceans (PISCO) funded by the David and Lucille Packard Foundation. This research was also funded by the Biomares LIFE project (LIFE06 NAT/P/000192), by the ERA-Net BiodivE",,Web of Science,,Arrábida Marine Park,1,0,0,0,"preserve marine biodiversity, recover habitats and promote scientific research, enhance environmental awareness and education, allow for sustainable nature oriented tourism, achieve sustainable development, and support regional economic and cultural activ",1,0,0,0,0,1-2 years,,0,0,0,0,0,0,Portugal,53 km2,,"to design, implement and test the
efficiency of a fisheries monitoring scheme at a coastal temperate MPA (the Arrábida Marine Park, Portugal), that combines data from fine-scale spatial distribution of fishing effort, on-board sam- pling and official land",,1,Pre-treatment/post-treatment,Primary,"Arrábida Marine Park, Portugal",Portugal,Local,nearshore subtidal habitats; rocky reefs and outcrops,Academic,Community,58 samples,,"Our approach was used to evaluate the impact of protection measures on local fisheries, by assessing how landings and revenues changed with MPA implementation",0,0,0,0,,0,0,,164,catch,Health,food security,Landings Per Unit Effort (LPUE),Researcher,Quantitative,Fishing,Neutral,Implicit,,NA,NA,NA,NA,NA,NA,No effect,NA,NA,NA,NA,"hardly STE, focuses on Landings Per Unit effort for a variety of species that are important to different fisheries, overall authors report no effect."
67550,DG,Aug-Sept 2017,28-Dec-17,Article,foley p;mccay b,2014,"certifying the commons: eco-certification, privatization, and collective   action",ecology and society,"Environmental Policy Institute, Memorial University, Grenfell Campus",1,0,0,0,0,0,0,"Mexican case study came from the U.S. National Science Foundation program, Biocomplexity in the Environment (OCE-0410439). Support for the Canadian case came from the Ontario Graduate Scholarship (OGS) program, the Social Sciences and Humanities Research ",,Web of Science,,FOGO ISLAND SHRIMP fishery and Mexican Rock Lobster fishery certifications,0,0,0,1,,1,0,0,0,0,,,0,0,0,0,0,1,Canada,,two case studies,to advance the understanding of the interaction between this form of fisheries governance and small-scale and community-based fisheries.,1,0,NA,Primary,"Fogo Island and Department of Fisheries and Oceans (DFO) Shrimp Fishing Areas (SFAs), Vizcaino region, Baja California and Baja California Sur, Mexico","Canada, Mexico",Local,nearshore/offshore,Academic,Community,NA,NA,case studies,0,0,0,0,,0,0,,166,property rights,Political empowerment,resource rights,"access, exclusion, and privileges resembling property rights,",Researcher,Qualitative,Fishing,Mixed,Implicit,fishers,Tradeoff,NA,Tradeoff,NA,NA,NA,NA,NA,NA,NA,NA,"Very weak causality. Nonetheless author states "MSC certificates confers powers of access, exclusion, and privileges resembling property rights, as well as showing how conflicts and cooperation can result from the injection of private certification in cer""ery weak causality. Nonetheless author states "MSC certificates confers powers of access, exclusion, and privileges resembling property rights, as well as showing how conflicts and cooperation can result fro""ry weak causality. Nonetheless author states "MSC certificates confers powers of access, exclusion, and privileges resembling property rights, as well as showin""y weak causality. Nonetheless author states "MSC certificates confers powers of access, exclusion, and privileges "" weak causality. Nonetheless author states "MSC certificates confers ""weak causality. Nonethele"
