Category,Question_number,Field_name,data_type
index,NA,aid,int
index2,NA,oid,int
R,0.1,Assessor,char
R,0.2,Assess_date,date
A,1.1,Pub_type,char
A,1.2,Authors,char
A,1.3,Pub_year,int
A,1.4,Title,char
A,1.5,Journal,char
A,1.8,Author_affil,char
A,1.9,Affil_type.Academic,bin
A,1.9,Affil_type.Public_sector,bin
A,1.9,Affil_type.Research_Institute,bin
A,1.9,Affil_type.Consultant,bin
A,1.9,Affil_type.Non_profit,bin
A,1.9,Affil_type.Private_sector,bin
A,1.9,Affil_type.International_Organization,bin
A,1.1,Funding,char
A,1.11,DOI,char
A,1.12,Source,char
A,1.13,Bib_notes,char
I,2.1,Int_type.MPA,bin
I,2.1,Int_type.PES,bin
I,2.1,Int_type.CBNRM,bin
I,2.1,Int_type.Certification,bin
I,2.2,Stated_int,char
I,2.3,Desired_out,char
I,2.4,Int_geo.local,bin
I,2.4,Int_geo.region,bin
I,2.4,Int_geo.national,bin
I,2.4,Int_geo.subnational,bin
I,2.4,Int_geo.international,bin
I,2.5,Int_dur,char
I,2.6,Int_funding,char
I,2.7,Mang_auth.Government,bin
I,2.7,Mang_auth.Shared_governance,bin
I,2.7,Mang_auth.Private_governance,bin
I,2.7,Mang_auth.Indigenous_community_governance,bin
I,2.7,Mang_auth.multiple,bin
I,2.7,Mang_auth.mixed,bin
I,2.8,Int_location,char
I,2.9,Int_area,char
I,2.1,Int_notes,char
S,3.1,Study_goal,char
S,3.2,Study_type,char
S,3.3,Design.control_comp,bin
S,3.4,Comp_type,char
S,3.5,Data_source,char
S,3.3,Study_location,char
S,3.4,Study_country,char
BS,4.1,Biome.,char
S,3.5,Eval_affil_type.acad,bin
S,3.6,Unit_analysis,char
S,3.7,Sample_Size,char
S,3.8,Study_duration,char
S,3.9,Study_notes,char
E,5.1,Distributive_equity,bin
E,5.2,Recognitional_equity,bin
E,5.3,Contextual_equity,bin
E,5.4,Procedural_equity,bin
E,5.5,Equity_notes,char
P,6.1,Causal_pathway,bin
P,6.2,Explicit_mechanism,bin
P,6.3,Pathway_notes,char
O,7.1,Stated_outcomes,char
O,4.2,No.outcomes,char
O,4.3,Portion_livelihood,char
O,4.4,Portion_livelihood_amount,char
O,5.1,Out_type,char
O,5.2,Out_subtype,char
O,5.3,Indicators,char
O,5.4,Out_definition,char
O,5.5,Outcome.data_type,char
O,5.6,Resource_type,char
O,5.7,Outcome.direction,char
O,5.8,Pluralism,char
O,5.9,Out_subgroup,char
O,5.1,STE_domain,char
O,5.11,STE_econ,char
O,5.12,STE_social,char
O,5.13,STE_sex,char
O,5.14,STE_ethnic,char
O,5.15,STE_age,char
O,5.16,STE_occupation,char
O,5.17,STE_social_org,char
O,5.18,STE_spatial,char
O,5.19,STE_temporal_unit,char
O,5.2,STE_temporal_scale,char
O,5.21,Outcome_notes,char
